AP NAME,SSID,MAC,Site,Building,Room
AP_CLA_2103,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3e:43,Main,CR (2),2103
AP_CLA_2125,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0e:85,Main,CR (2),2125
AP_CLA_2132,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3a:f5,Main,CR (2),2132
AP_CLA_2201,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3c:ff,Main,CR (2),2201
AP_CLA_2203,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3b:07,Main,CR (2),2203
AP_CLA_2205,mac_lab,08:5b:0e:e8:3d:11,Main,CR (2),2205
AP_CLA_2228,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:39:69,Main,CR (2),2228
,,,,,
AP_GR_LL1,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3c:6f,Main,Griffin,Athletic OFC
AP_GR_LL2,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3d:e9,Main,Griffin,Athletic OFC
AP_GR_PB,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:05:a9,Main,Griffin,Griffin
,,,,,
AP_LIB_103,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:fd:a5,Main,LIB (L),1103
AP_LIB_105,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:f4:4b,Main,LIB (L),1105
AP_LIB_1203_Theater,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:06:5d,Main,LIB (L),1203 - Theater RM
AP_LIB_1204,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:ff:43,Main,LIB (L),1204
AP_LIB_125,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:f3:df,Main,LIB (L),1125
AP_LIB_136,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:05:df,Main,LIB (L),L136
AP_LIB_137,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0f:15,Main,LIB (L),L137
AP_LIB_215,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:fe:23,Main,LIB (L),1215 - Circulation
AP_LIB_219,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:56:41,Main,LIB (L),LIB - Second FL (STU Lab)
AP_LIB_307,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:6f:37,Main,LIB (L),LIB - Third FL
AP_LIB_315,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:6e:83,Main,LIB (L),L315
AP_LIB_316,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:6e:5f,Main,LIB (L),L316
AP_LIB_317,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:6f:5b,Main,LIB (L),L317
AP_LIB_DCR,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:00:63,Main,LIB (L),DEAN CONF
,,,,,
AP_Observatory,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:06:a5,Main,OBV,Observatory
,,,,,
AP_PAL,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:02:eb,Main,PAL,PAL - Band Office
,,,,,
AP_SC_115,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:56:89,Main,S Center,115
AP_SC_CompLab,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:6d:3f,Main,S Center,SC Lab
AP_SC_President,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:bf:95,Main,S Center,PRES OFC
AP_SC_Steiger,TMC_PUBLIC / TMC_SECURE,90:6c:ac:93:b0:c1,Main,S Center,STGW HALL
,,,,,
AP_SCI_101,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:07:c5,Main,SCI (S),S101
AP_SCI_107,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:11:0d,Main,SCI (S),S107
AP_SCI_108,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:10:7d,Main,SCI (S),S108
AP_SCI_118,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0f:03,Main,SCI (S),S118
AP_SCI_120,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:fb:77,Main,SCI (S),S120
AP_SCI_210,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:fa:8d,Main,SCI (S),S210
AP_SCI_212,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0d:d1,Main,SCI (S),S212
AP_SCI_216,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:03:33,Main,SCI (S),S216
AP_SCI_224A,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:06:6f,Main,SCI (S),S224A
AP_SCI_226,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0e:a9,Main,SCI (S),S226
AP_SCI_302,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:03:b1,Main,SCI (S),S302
AP_SCI_306,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:03:57,Main,SCI (S),S306
AP_SCI_310,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:03:21,Main,SCI (S),S310
