vf=0,wtp=2324,id=AP_LIB_215,base=08:5b:0e:e7:fe:23,10.1.5.24:34828(11)<->10.1.5.1:5247,use=7,10.1.5.24:5246
vf=0,wtp=2325,id=AP_GR_LL2,base=08:5b:0e:e8:3d:e9,10.1.5.48:47888(11)<->10.1.5.1:5247,use=9,10.1.5.48:5246
vf=0,wtp=2327,id=AP_LIB_315,base=90:6c:ac:92:6e:83,10.1.5.89:44212(11)<->10.1.5.1:5247,use=7,10.1.5.89:5246
vf=0,wtp=2328,id=AP_SC_115,base=90:6c:ac:92:56:89,10.1.5.86:44476(11)<->10.1.5.1:5247,use=7,10.1.5.86:5246
vf=0,wtp=2329,id=AP_LIB_137,base=08:5b:0e:e8:0f:15,10.1.5.56:34202(11)<->10.1.5.1:5247,use=7,10.1.5.56:5246
vf=0,wtp=2330,id=AP_SCI_101,base=08:5b:0e:e8:07:c5,10.1.5.26:46169(11)<->10.1.5.1:5247,use=7,10.1.5.26:5246
vf=0,wtp=2332,id=AP_SCI_226,base=08:5b:0e:e8:0e:a9,10.1.5.16:47840(11)<->10.1.5.1:5247,use=7,10.1.5.16:5246
vf=0,wtp=2333,id=AP_LIB_317,base=90:6c:ac:92:6f:5b,10.1.5.95:45119(11)<->10.1.5.1:5247,use=7,10.1.5.95:5246
vf=0,wtp=2334,id=AP_SCI_210,base=08:5b:0e:e7:fa:8d,10.1.5.10:35841(11)<->10.1.5.1:5247,use=7,10.1.5.10:5246
vf=0,wtp=2335,id=AP_SCI_107,base=08:5b:0e:e8:11:0d,10.1.5.11:37661(11)<->10.1.5.1:5247,use=7,10.1.5.11:5246
vf=0,wtp=2336,id=AP_SCI_120,base=08:5b:0e:e7:fb:77,10.1.5.33:43246(11)<->10.1.5.1:5247,use=7,10.1.5.33:5246
vf=0,wtp=2337,id=AP_SCI_212,base=08:5b:0e:e8:0d:d1,10.1.5.9:58321(11)<->10.1.5.1:5247,use=7,10.1.5.9:5246
vf=0,wtp=2338,id=AP_SCI_408,base=08:5b:0e:e8:0e:4f,10.1.5.22:32945(11)<->10.1.5.1:5247,use=7,10.1.5.22:5246
vf=0,wtp=2339,id=AP_SCI_224A,base=08:5b:0e:e8:06:6f,10.1.5.12:49362(11)<->10.1.5.1:5247,use=7,10.1.5.12:5246
vf=0,wtp=2340,id=AP_SC_Steig,base=90:6c:ac:93:b0:c1,10.1.5.74:40549(11)<->10.1.5.1:5247,use=7,10.1.5.74:5246
vf=0,wtp=2341,id=AP_ADM_3123,base=90:6c:ac:92:8e:15,10.1.5.44:53696(11)<->10.1.5.1:5247,use=7,10.1.5.44:5246
vf=0,wtp=2342,id=AP_ADM_3262,base=90:6c:ac:92:b1:61,10.1.5.80:32884(11)<->10.1.5.1:5247,use=7,10.1.5.80:5246
vf=0,wtp=2343,id=AP_ADM_ADMISSIONS,base=90:6c:ac:92:8e:39,10.1.5.67:35248(11)<->10.1.5.1:5247,use=7,10.1.5.67:5246
vf=0,wtp=2344,id=AP_CCC_GYMNE,base=08:5b:0e:e8:0f:81,10.1.5.88:60927(11)<->10.1.5.1:5247,use=7,10.1.5.88:5246
vf=0,wtp=2345,id=AP_CCC_GYMNW,base=08:5b:0e:e8:3e:1f,10.1.5.37:48257(11)<->10.1.5.1:5247,use=7,10.1.5.37:5246
vf=0,wtp=2346,id=AP_CCC_UL,base=08:5b:0e:e8:08:af,10.1.5.59:34034(11)<->10.1.5.1:5247,use=7,10.1.5.59:5246
vf=0,wtp=2347,id=AP_CLA_2125,base=08:5b:0e:e8:0e:85,10.1.5.60:41520(11)<->10.1.5.1:5247,use=7,10.1.5.60:5246
vf=0,wtp=2348,id=AP_CCC_TRAIN,base=08:5b:0e:e8:06:ff,10.1.5.58:52706(11)<->10.1.5.1:5247,use=7,10.1.5.58:5246
vf=0,wtp=2349,id=AP_SCI_216,base=08:5b:0e:e8:03:33,10.1.5.34:53941(11)<->10.1.5.1:5247,use=7,10.1.5.34:5246
vf=0,wtp=2350,id=AP_SCI_302,base=08:5b:0e:e8:03:b1,10.1.5.38:46312(11)<->10.1.5.1:5247,use=7,10.1.5.38:5246
vf=0,wtp=2352,id=AP_SCI_403,base=08:5b:0e:e8:12:1b,10.1.5.25:36260(11)<->10.1.5.1:5247,use=7,10.1.5.25:5246
vf=0,wtp=2353,id=AP_SCI_401,base=08:5b:0e:e8:10:e9,10.1.5.42:40124(11)<->10.1.5.1:5247,use=7,10.1.5.42:5246
vf=0,wtp=2354,id=AP_SCI_306,base=08:5b:0e:e8:03:57,10.1.5.17:37624(11)<->10.1.5.1:5247,use=7,10.1.5.17:5246
vf=0,wtp=2355,id=AP_SCI_319,base=08:5b:0e:e7:fe:47,10.1.5.14:35839(11)<->10.1.5.1:5247,use=7,10.1.5.14:5246
vf=0,wtp=2356,id=AP_SCI_314,base=08:5b:0e:e7:ef:05,10.1.5.23:37598(11)<->10.1.5.1:5247,use=7,10.1.5.23:5246
vf=0,wtp=2357,id=AP_SCI_310,base=08:5b:0e:e8:03:21,10.1.5.18:38796(11)<->10.1.5.1:5247,use=7,10.1.5.18:5246
vf=0,wtp=2359,id=AP_ADM_3308,base=90:6c:ac:92:b0:bf,10.1.5.93:44285(11)<->10.1.5.1:5247,use=7,10.1.5.93:5246
vf=0,wtp=2364,id=AP_LIB_103,base=08:5b:0e:e7:fd:a5,10.1.5.28:43602(11)<->10.1.5.1:5247,use=9,10.1.5.28:5246
vf=0,wtp=2375,id=AP_PAL_1,base=08:5b:0e:e8:02:eb,10.1.5.6:34252(11)<->10.1.5.1:5247,use=7,10.1.5.6:15246
vf=0,wtp=2378,id=AP_ADM_3305,base=08:5b:0e:f3:4f:e9,10.1.5.65:40671(11)<->10.1.5.1:5247,use=5,10.1.5.65:5246
vf=0,wtp=2390,id=AP_LIB_316,base=90:6c:ac:92:6e:5f,10.1.5.3:48642(11)<->10.1.5.1:5247,use=7,10.1.5.3:5246
vf=0,wtp=2392,id=AP_SEHEALTH_LL,base=70:4c:a5:91:92:b0,10.1.5.31:57611(11)<->10.1.5.1:5247,use=7,10.1.5.31:5246
vf=0,wtp=2394,id=AP_SEHEALTH_UL,base=70:4c:a5:91:92:e0,10.1.5.90:57062(11)<->10.1.5.1:5247,use=7,10.1.5.90:5246
vf=0,wtp=1425,id=AP_SC_PresConf,base=90:6c:ac:92:bf:95,10.1.5.84:38838(11)<->10.1.5.1:5247,use=7,10.1.5.84:5246
 ,,,,,,
