PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Brandon Jennings,MIL,28,14,8,6,14.7,5.2,1.9,5.1,37.5,0.6,2.4,27.3,0.7,0.7,100,0.4,1.9,2.2,3.1,1.3,0.4,0.3,0.8,13.4,1,0,-4.6
Brandon Paul,SAS,27,64,38,26,9,2.3,0.9,2,43.3,0.2,0.8,27.8,0.3,0.7,51.2,0.1,1,1.1,0.6,0.5,0.4,0.1,0.9,5.5,0,0,-0.1
Briante Weber,MEM,25,18,8,10,13.1,2.8,1.1,2.4,44.2,0.2,0.6,36.4,0.4,0.6,80,0.4,1.5,1.9,1.2,0.8,1,0.3,1.6,9.9,0,0,-6.1
Brice Johnson,MEM,23,18,2,16,5.5,2.4,1.1,2.3,47.6,0,0.1,0,0.2,0.3,60,0.5,1.2,1.7,0.1,0.3,0.5,0.3,0.7,6.8,0,0,-0.4
Brook Lopez,LAL,30,74,34,40,23.4,13,5,10.7,46.5,1.5,4.4,34.5,1.5,2.1,70.3,1,3,4,1.7,1.3,0.4,1.3,2.6,24.2,4,0,-1.1
Bruno Caboclo,SAC,22,12,4,8,8.8,2.2,0.8,2.6,29,0.3,1.4,17.6,0.4,0.5,83.3,0.6,1.3,1.8,0.3,0.3,0.3,0.3,0.7,6.3,0,0,0.9
Bryn Forbes,SAS,24,80,46,34,19,6.9,2.6,6.2,42.1,1.1,2.9,39,0.6,0.9,66.7,0.2,1.2,1.4,1,0.5,0.4,0,1.4,10.8,0,0,1.5
Buddy Hield,SAC,24,80,27,53,25.3,13.5,5.2,11.7,44.6,2.2,5.1,43.1,0.9,1,87.7,0.7,3.2,3.8,1.9,1.6,1.1,0.3,1.9,23.5,0,0,-1.9
C.J. Williams,LAC,28,38,17,21,18.6,5.5,2.3,5.2,44.2,0.6,2.1,28.2,0.3,0.4,81.3,0.3,1.2,1.5,1.1,0.5,0.8,0.3,1.7,11.9,0,0,-0.9
CJ McCollum,POR,26,81,48,33,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,0.7,3.3,4,3.4,1.9,1,0.4,2.1,33.5,1,0,1.5
CJ Miles,TOR,31,70,50,20,19.1,10,3.2,8.6,37.9,2.3,6.5,36.1,1.2,1.4,83.5,0.3,1.9,2.2,0.8,0.6,0.5,0.3,1.9,15.7,0,0,3.9
Caleb Swanigan,POR,21,27,16,11,7,2.3,0.9,2.2,40,0,0.3,12.5,0.4,0.7,66.7,0.6,1.4,2,0.5,0.7,0.2,0.1,1.4,5.7,0,0,-0.4
Cameron Payne,CHI,23,25,7,18,23.3,8.8,3.5,8.6,40.5,1.4,3.6,38.5,0.5,0.6,75,0.7,2,2.8,4.5,1.4,1,0.4,1.8,21.7,1,0,-3.6
Caris LeVert,BKN,23,71,25,46,26.2,12.1,4.5,10.4,43.5,1.2,3.5,34.7,1.9,2.6,71.1,0.7,2.9,3.7,4.2,2.2,1.2,0.3,2.2,25,3,0,-3.7
Carmelo Anthony,OKC,34,78,46,32,32.1,16.2,6.1,15,40.4,2.2,6.1,35.7,1.9,2.5,76.7,0.9,4.9,5.8,1.3,1.3,0.6,0.6,2.5,27.5,6,0,3.5
Cedi Osman,CLE,23,61,35,26,11,3.9,1.5,3,48.4,0.5,1.4,36.8,0.4,0.8,56.5,0.3,1.7,2,0.7,0.5,0.4,0,1.3,8,0,0,0.6
Chandler Parsons,MEM,29,36,12,24,19.2,7.9,3,6.5,46.2,1.4,3.4,42.1,0.5,0.8,63,0.4,2.1,2.5,1.9,1,0.5,0.3,1.5,15.2,0,0,-2.4
Channing Frye,LAL,35,53,28,25,13.1,5,2,4,49.1,0.7,2.2,33.9,0.3,0.4,89.5,0.2,2.3,2.5,0.7,0.4,0.3,0.2,1.3,10.5,0,0,2.2
Charles Cooke,NOP,23,13,8,5,2.9,0.5,0.2,1.1,14.3,0.1,0.6,12.5,0.1,0.2,50,0,0.2,0.2,0.1,0.1,0.1,0,0,0.9,0,0,-0.7
Cheick Diallo,NOP,21,52,29,23,11.2,4.9,2,3.4,58,0,0,0,1,1.3,75.8,0.9,3.2,4.1,0.4,0.5,0.2,0.4,1.6,11.6,3,0,-2
Chinanu Onuaku,HOU,21,1,0,1,21.6,4,2,5,40,0,0,0,0,0,0,1,3,4,1,3,0,0,4,7.3,0,0,-8
Chris Boucher,GSW,25,1,1,0,1.3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-2
Chris McCullough,WAS,23,19,11,8,4.7,2.4,0.9,2.2,42.9,0.1,0.4,12.5,0.5,0.7,64.3,0.4,0.9,1.3,0.2,0.1,0,0.3,0.4,5,0,0,-0.8
Chris Paul,HOU,33,58,50,8,31.8,18.6,6.3,13.8,46,2.5,6.5,38,3.5,3.8,91.9,0.6,4.8,5.4,7.9,2.2,1.7,0.2,2.4,40.4,14,1,8.6
Clint Capela,HOU,24,74,62,12,27.5,13.9,6,9.1,65.2,0,0,0,1.9,3.5,56,3.3,7.6,10.8,0.9,1.4,0.8,1.9,2.5,34.8,42,0,5.1
Cody Zeller,CHA,25,33,14,19,19,7.1,2.6,4.7,54.5,0.1,0.1,66.7,1.8,2.6,71.8,2,3.3,5.4,0.9,1,0.4,0.6,2.5,17.1,1,0,0.7
Cole Aldrich,MIN,29,21,14,7,2.3,0.6,0.2,0.7,33.3,0,0,0,0.1,0.3,33.3,0.1,0.6,0.7,0.1,0,0.1,0,0.5,2,0,0,-0.1
Corey Brewer,OKC,32,72,32,40,16.8,5.3,2,4.4,44.9,0.4,1.5,28.2,0.9,1.3,72.2,0.6,1.5,2.1,0.9,0.7,1.1,0.2,1.9,12.4,0,0,-0.8
Cory Joseph,IND,26,82,48,34,27,7.9,3.1,7.4,42.4,0.8,2.3,35.3,0.9,1.1,74.5,0.5,2.7,3.2,3.2,1.1,1,0.2,1.7,19,1,0,-0.6
Courtney Lee,NYK,32,76,27,49,30.4,12,4.5,9.9,45.4,1.5,3.7,40.6,1.5,1.6,91.9,0.4,2.6,2.9,2.4,1.1,1.1,0.2,1.4,21.8,1,0,-3.4
Cristiano Felicio,CHI,25,55,13,42,17.8,5.6,2.3,3.9,59.1,0,0,0,1,1.5,66.7,1.5,2.7,4.2,1,1,0.3,0.2,1.9,12.7,3,0,-6.1
D'Angelo Russell,BKN,22,48,16,32,25.7,15.5,5.8,14,41.4,1.9,5.8,32.4,2,2.7,74,0.6,3.3,3.9,5.2,3.1,0.8,0.4,1.9,28.2,5,1,-3.8
D.J. Augustin,ORL,30,75,23,52,23.5,10.2,3.3,7.2,45.2,1.5,3.6,41.9,2.2,2.5,86.8,0.4,1.7,2.1,3.8,1.6,0.7,0,1.3,19,2,0,-1.7
D.J. Wilson,MIL,22,22,12,10,3.2,1,0.4,0.7,56.3,0.1,0.2,40,0,0.1,50,0.1,0.4,0.5,0.1,0.2,0.1,0,0.3,2.1,0,0,-1.9
Dakari Johnson,OKC,22,31,21,10,5.2,1.8,0.7,1.3,56.4,0,0,0,0.4,0.6,55,0.5,0.6,1.1,0.3,0.1,0.2,0.3,0.9,4.7,0,0,1
Damian Jones,GSW,22,15,7,8,5.9,1.7,0.7,1.5,50,0,0,0,0.2,0.3,60,0.3,0.6,0.9,0.1,0.3,0.1,0.2,0.9,3.5,0,0,0
Damian Lillard,POR,27,73,44,29,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,0.8,3.6,4.5,6.6,2.8,1.1,0.4,1.6,43.6,11,0,4.7
Damien Wilkins,IND,38,19,10,9,8,1.7,0.7,2.1,33.3,0.2,0.9,22.2,0.2,0.2,75,0.3,0.6,0.8,0.5,0.3,0.1,0.1,0.4,3.7,0,0,1.4
Damion Lee,ATL,25,15,4,11,27,10.7,4.1,10.1,40.8,1,4,25,1.5,1.9,75.9,0.7,4,4.7,1.9,0.9,1.3,0.1,1.7,22.4,0,0,-1.5
Damyean Dotson,NYK,24,44,11,33,10.8,4.1,1.6,3.7,44.7,0.5,1.5,32.4,0.4,0.5,69.6,0.2,1.7,1.9,0.7,0.4,0.3,0,0.8,8.1,2,0,-0.9
Daniel Hamilton,OKC,22,6,5,1,4.6,2,0.8,1.8,45.5,0.3,0.8,40,0,0,0,0,0.8,0.8,1.3,0.3,0.2,0,0.3,5.2,0,0,-2
Daniel Theis,BOS,26,63,44,19,14.9,5.3,2,3.7,54.1,0.3,0.9,31,1,1.3,75.3,1.4,2.9,4.3,0.9,0.9,0.5,0.8,2.5,14.6,2,0,0
Danilo Gallinari,LAC,29,21,11,10,32,15.3,4.9,12.2,39.8,1.7,5.3,32.4,3.9,4.1,93.1,0.4,4.4,4.8,2,1.2,0.6,0.5,1.4,25.9,0,0,0.5
Danny Green,SAS,30,70,40,30,25.6,8.6,3.1,8,38.7,1.7,4.6,36.3,0.7,0.9,76.9,0.6,3,3.6,1.6,1.1,0.9,1.1,1.7,20.3,0,0,1.3
Dante Cunningham,BKN,31,73,34,39,21.4,5.7,2.2,5,45.1,0.8,2.3,34.5,0.4,0.7,59.6,1.1,3,4.1,0.7,0.5,0.5,0.4,1.5,14,1,0,-1.1
Dante Exum,UTA,22,14,10,4,16.8,8.1,3,6.2,48.3,0.4,1.3,27.8,1.8,2.2,80.6,0.3,1.6,1.9,3.1,1.4,0.6,0.2,1.4,15.9,0,0,2.3
Danuel House,PHX,24,23,6,17,17.5,6.6,2.4,5.6,43.4,0.7,2.5,25.9,1.1,1.3,80.6,0.6,2.7,3.3,1.1,0.5,0.3,0.3,1,13.4,0,0,0.8
Dario Saric,PHI,24,78,49,29,29.6,14.6,5.2,11.4,45.3,2,5.1,39.3,2.3,2.7,86,2,4.7,6.7,2.6,1.9,0.7,0.3,2.1,27.3,13,0,3.7
Darius Miller,NOP,28,82,48,34,23.7,7.8,2.6,5.9,44.4,1.8,4.4,41.1,0.7,0.8,86.6,0.2,1.8,2,1.4,0.7,0.3,0.2,2,13.1,0,0,-0.3
Darrell Arthur,DEN,30,19,12,7,7.4,2.8,1.2,2.5,46.8,0.4,1.2,34.8,0.1,0.2,66.7,0.2,0.6,0.8,0.5,0.8,0.4,0.2,1.2,5.4,0,0,-1.7
Darren Collison,IND,30,69,39,30,29.3,12.4,4.6,9.2,49.5,1.4,3,46.8,1.8,2.1,88.2,0.5,2,2.6,5.3,1.2,1.3,0.2,1.8,26.9,6,0,1.9
Darrun Hilliard,SAS,25,14,8,6,6.8,1.1,0.4,1.4,26.3,0,0.4,0,0.4,0.5,85.7,0,0.5,0.5,0.8,0.3,0.1,0,0.5,3.1,0,0,0.9
David Nwaba,CHI,25,70,26,44,23.5,7.9,2.9,6,47.8,0.3,0.7,34.6,1.9,2.9,65.5,1.3,3.4,4.7,1.5,1.1,0.8,0.4,2.3,18.4,3,0,-3.4
David Stockton,UTA,26,3,3,0,3.1,3.3,0.7,1,66.7,0.7,1,66.7,1.3,1.3,100,0,0,0,0,0.3,0,0,1,3,0,0,-3.7
David West,GSW,37,73,52,21,13.7,6.8,3,5.2,57.1,0,0.1,37.5,0.8,1.1,75.9,0.9,2.4,3.3,1.9,1.1,0.6,1,1.6,17.4,0,0,0.5
Davis Bertans,SAS,25,77,43,34,14.1,5.9,2.1,4.8,44,1.2,3.3,37.3,0.5,0.6,81.6,0.2,1.8,2,1,0.5,0.3,0.4,1.2,11.4,0,0,1.1
Davon Reed,PHX,22,21,2,19,11.5,3,1,3.6,28.9,0.5,1.8,28.9,0.4,0.6,66.7,0.1,1.8,1.9,0.6,0.5,0.5,0.1,0.8,7.4,0,0,-3.6
De'Aaron Fox,SAC,20,73,24,49,27.7,11.6,4.5,10.9,41.2,0.6,2.1,30.7,1.9,2.7,72.3,0.5,2.3,2.8,4.4,2.4,1,0.3,2.2,22.8,3,0,-5.7
DeAndre Jordan,LAC,29,77,39,38,31.5,12,4.8,7.5,64.5,0,0,0,2.4,4.1,58,4.3,10.9,15.2,1.5,1.8,0.5,0.9,2.6,35.1,46,0,-1.7
DeAndre Liggins,NOP,30,58,34,24,12.5,1.7,0.7,1.8,37.7,0.3,0.9,35.8,0,0.1,40,0.1,1.2,1.3,0.8,0.3,0.6,0.2,1.4,6.8,0,0,-3.7
DeAndre' Bembry,ATL,23,26,8,18,17.5,5.2,2,4.9,41.4,0.4,1.2,36.7,0.7,1.3,57.6,0.3,2.5,2.8,1.9,1.8,0.8,0.5,1.5,13.4,0,0,-2.9
DeMar DeRozan,TOR,28,80,57,23,33.9,23,8.1,17.7,45.6,1.1,3.6,31,5.8,7,82.5,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.4,0,0,5.5
DeMarcus Cousins,NOP,27,48,27,21,36.2,25.2,8.5,18,47,2.2,6.1,35.4,6.1,8.2,74.6,2.2,10.7,12.9,5.4,5,1.6,1.6,3.8,53.3,38,3,1.7
DeMarre Carroll,BKN,31,73,25,48,29.9,13.5,4.5,10.8,41.4,2,5.4,37.1,2.6,3.4,76.4,1.4,5.1,6.6,2,1.4,0.8,0.4,2.3,26.6,13,0,-0.9
Dejounte Murray,SAS,21,81,47,34,21.5,8.1,3.3,7.5,44.3,0.1,0.4,26.5,1.3,1.8,70.9,1.4,4.3,5.7,2.9,1.7,1.2,0.4,1.9,22.2,7,0,1.9
Delon Wright,TOR,26,69,49,20,20.8,8,2.9,6.3,46.5,0.8,2.2,36.6,1.4,1.7,82.9,0.7,2.2,2.9,2.9,1.1,1,0.5,1.2,19.3,1,0,3.4
Demetrius Jackson,PHI,23,15,12,3,5.3,1.1,0.5,1.2,38.9,0.1,0.5,14.3,0.1,0.1,50,0.3,0.5,0.8,0.6,0.7,0.3,0.1,0.5,3.5,0,0,-2.5
Dennis Schroder,ATL,24,67,21,46,31,19.4,7.5,17.1,43.6,1.1,3.9,29,3.4,4,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0,-4.1
Dennis Smith Jr.,DAL,20,69,22,47,29.7,15.2,5.9,14.8,39.5,1.5,4.9,31.3,1.9,2.8,69.4,0.7,3,3.8,5.2,2.8,1,0.3,2.2,28.6,6,1,-4.7
Denzel Valentine,CHI,24,77,26,51,27.2,10.2,3.9,9.4,41.7,1.9,4.8,38.6,0.5,0.7,74.5,0.6,4.5,5.1,3.2,1.3,0.8,0.1,2.4,22.7,5,0,-3.5
Derrick Favors,UTA,26,77,46,31,28,12.3,5.1,9.1,56.3,0.2,0.8,22.2,1.8,2.8,65.1,2.6,4.6,7.2,1.3,1.1,0.7,1.1,2.1,27,15,0,1.9
Derrick Jones Jr.,MIA,21,20,9,11,12.3,3.1,1.1,2.7,39.6,0.2,0.9,16.7,0.8,1.2,66.7,1.1,0.9,1.9,0.5,0.4,0.2,0.7,1.2,8.2,0,0,-1.8
Derrick Rose,MIN,29,25,15,10,16.8,8.4,3.2,7.4,43.5,0.3,1.2,23.3,1.6,1.8,87,0.5,0.9,1.4,1.5,1.4,0.3,0.2,0.6,12.2,0,0,-2.1
Derrick Walton Jr.,MIA,23,16,8,8,9.2,1.8,0.5,1.6,32,0.4,1.1,41.2,0.4,0.4,100,0.1,0.9,1,1,0.1,0.4,0.2,0.4,6.3,0,0,-1.9
Derrick White,SAS,23,17,7,10,8.2,3.2,0.9,1.9,48.5,0.5,0.8,61.5,0.8,1.2,70,0.3,1.2,1.5,0.5,0.4,0.2,0.2,0.5,6.7,0,0,1.8
Derrick Williams,LAL,27,2,1,1,4.3,1,0.5,2,25,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,-2.5
Devin Booker,PHX,21,54,16,38,34.5,24.9,8.4,19.5,43.2,2.7,7.1,38.3,5.4,6.1,87.8,0.5,4,4.5,4.7,3.6,0.9,0.3,3.1,37.2,4,0,-6.6
Devin Harris,DEN,35,71,33,38,18.9,8.4,2.6,6.4,41.2,1.1,3.2,34.8,2,2.4,83.5,0.2,1.6,1.8,2.1,1.1,0.7,0.2,2.2,15.2,0,0,1.5
Devin Robinson,WAS,23,1,0,1,13.2,2,1,3,33.3,0,0,0,0,0,0,2,3,5,0,0,1,0,2,11,0,0,10
Dewayne Dedmon,ATL,28,62,18,44,24.9,10,4,7.7,52.4,0.8,2.3,35.5,1.1,1.4,77.9,1.6,6.3,7.9,1.5,1.4,0.6,0.8,2.6,24.6,15,0,-2.5
Deyonta Davis,MEM,21,62,16,46,15.2,5.8,2.6,4.3,60.8,0,0,0,0.6,0.9,66.7,1.2,2.8,4,0.6,0.5,0.2,0.6,2,13.7,1,0,-2.6
Dillon Brooks,MEM,22,82,22,60,28.7,11,4.1,9.4,44,1.1,3.2,35.6,1.5,2,74.7,0.6,2.5,3.1,1.6,1.5,0.9,0.2,2.8,19,0,0,-3
Dion Waiters,MIA,26,30,16,14,30.6,14.3,5.4,13.7,39.8,1.7,5.7,30.6,1.7,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2,23.9,0,0,-2.8
Dirk Nowitzki,DAL,39,77,24,53,24.7,12,4.5,9.8,45.6,1.8,4.4,40.9,1.3,1.4,89.8,0.3,5.4,5.7,1.6,0.7,0.6,0.6,1.9,24,5,0,-0.7
Domantas Sabonis,IND,22,74,45,29,24.5,11.6,4.6,8.9,51.4,0.2,0.5,35.1,2.3,3,75,2.2,5.5,7.7,2,1.9,0.5,0.4,3,25,15,0,0.5
Donovan Mitchell,UTA,21,79,46,33,33.4,20.5,7.5,17.2,43.7,2.4,7,34,3,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5
Dorian Finney-Smith,DAL,25,21,4,17,21.3,5.9,2.2,5.8,38,1,3.2,29.9,0.5,0.7,73.3,1,2.5,3.6,1.2,1,0.5,0.2,2,13,1,0,-1.2
Doug McDermott,DAL,26,81,30,51,21.8,7.8,2.9,6.3,46.7,1.1,2.7,42.6,0.8,1,79,0.5,2,2.5,1,0.7,0.2,0.2,1.5,12.8,0,0,-0.4
Dragan Bender,PHX,20,82,21,61,25.2,6.5,2.3,5.9,38.6,1.4,3.9,36.6,0.5,0.6,76.5,0.5,3.9,4.4,1.6,1.4,0.3,0.6,2,15.5,3,0,-5.7
Draymond Green,GSW,28,70,48,22,32.7,11,4,8.8,45.4,1.1,3.7,30.1,1.9,2.5,77.5,1.1,6.6,7.6,7.3,2.9,1.3,1.3,2.6,36.1,23,3,4.4
Dwayne Bacon,CHA,22,53,25,28,13.5,3.3,1.4,3.6,37.5,0.2,0.8,25.6,0.4,0.5,80,0.1,2.3,2.3,0.7,0.4,0.3,0,0.9,7.8,0,0,0.2
Dwight Buycks,DET,29,29,10,19,14.7,7.4,2.8,6.8,41.4,0.5,1.6,33.3,1.2,1.4,87.8,0.4,1,1.4,2,1.3,0.7,0.1,1.3,13,0,0,0.1
Dwight Howard,CHA,32,81,35,46,30.4,16.6,6.2,11.2,55.5,0,0.1,14.3,4.1,7.2,57.4,3.1,9.3,12.5,1.3,2.6,0.6,1.6,3.1,37.6,53,0,1.1
Dwight Powell,DAL,26,79,23,56,21.2,8.5,3.2,5.4,59.3,0.4,1.1,33.3,1.7,2.3,71.9,1.7,3.9,5.6,1.2,0.7,0.8,0.4,2.4,20,5,0,0.1
Dwyane Wade,MIA,36,67,37,30,22.9,11.4,4.5,10.2,43.8,0.5,1.7,28.8,2,2.8,71.4,0.7,3,3.8,3.4,2.1,0.9,0.7,1.9,23.8,3,0,0.4
E'Twaun Moore,NOP,29,82,48,34,31.5,12.5,5.2,10.1,50.8,1.6,3.7,42.5,0.6,0.8,70.6,0.7,2.2,2.9,2.3,1.2,1,0.1,2.2,21.5,0,0,1.8
Ed Davis,POR,28,78,48,30,18.9,5.3,2.2,3.7,58.2,0,0,0,0.9,1.4,66.7,2.3,5,7.4,0.5,0.8,0.4,0.7,2.4,17.3,6,0,1.2
Edmond Sumner,IND,22,1,0,1,2.2,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3.2,0,0,-6
Ekpe Udoh,UTA,31,63,36,27,12.9,2.6,1,1.9,50,0,0,0,0.7,0.9,75,1.1,1.3,2.4,0.8,0.3,0.7,1.2,1.7,11.9,0,0,1
Elfrid Payton,PHX,24,63,13,50,28.7,12.7,5.2,10.6,49.3,0.5,1.5,32.6,1.7,2.7,64.9,1,3.3,4.3,6.2,2.7,1.3,0.3,2.3,29.6,8,2,-7.3
Emeka Okafor,NOP,35,26,16,10,13.6,4.4,1.8,3.7,50.5,0,0,0,0.7,0.8,81.8,1.8,2.8,4.6,0.3,0.5,0.3,1,1.2,13.7,0,0,0
Emmanuel Mudiay,NYK,22,64,29,35,19.4,8.6,3.2,8.2,38.8,0.7,2.3,31.8,1.5,2,76,0.4,2,2.4,3.2,1.8,0.6,0.2,1.3,17,1,0,-4.2
Enes Kanter,NYK,26,71,27,44,25.8,14.1,5.9,10,59.2,0,0,0,2.2,2.6,84.8,3.8,7.1,11,1.5,1.7,0.5,0.5,2.6,30.9,39,0,-2.6
Eric Bledsoe,MIL,28,74,40,34,31.4,17.7,6.3,13.4,47.3,1.7,4.9,34.7,3.4,4.3,79.5,0.7,3.1,3.8,5,2.9,2,0.6,2.5,34.7,3,1,1.6
Eric Gordon,HOU,29,69,55,14,31.2,18,6,14.1,42.8,3.2,8.8,35.9,2.8,3.5,80.9,0.4,2.1,2.5,2.2,1.9,0.6,0.4,1.7,25.5,0,0,8.5
Eric Moreland,DET,26,67,32,35,12,2.1,1,1.8,54.1,0,0,0,0.2,0.4,37.9,1.2,2.9,4.1,1.2,0.6,0.5,0.8,1.7,11.9,2,0,0
Erik McCree,UTA,24,4,4,0,1.9,0,0,0.5,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0.3,0,0,0.8,0,0,-2.3
Ersan Ilyasova,PHI,31,69,36,33,25.1,10.9,4,8.9,45.2,1.3,3.7,36,1.5,2,77.8,1.7,4.2,5.9,1.3,1,0.9,0.4,2.3,22.6,7,0,0.3
Evan Fournier,ORL,25,57,20,37,32.2,17.8,6.5,14.1,45.9,2.2,5.9,37.9,2.6,3,86.7,0.4,2.8,3.2,2.9,1.7,0.8,0.3,2.4,27.6,0,0,-2.1
Evan Turner,POR,29,79,48,31,25.7,8.2,3.3,7.3,44.7,0.5,1.7,31.8,1.2,1.4,85,0.4,2.7,3.1,2.2,1.3,0.6,0.4,2.1,16.8,0,0,-0.6
Frank Kaminsky,CHA,25,79,35,44,23.2,11.1,3.9,9.1,42.9,1.3,3.5,38,2,2.5,79.9,0.6,3.1,3.6,1.6,0.8,0.5,0.2,1.2,19.1,0,0,-0.7
Frank Mason,SAC,24,52,17,35,18.9,7.9,2.8,7.3,37.9,0.6,1.7,36,1.8,2.2,81.7,0.6,1.9,2.5,2.8,1.3,0.7,0.2,1.4,16.5,0,0,-0.7
Frank Ntilikina,NYK,19,78,28,50,21.9,5.9,2.3,6.4,36.4,0.6,2,31.8,0.6,0.9,72.1,0.5,1.8,2.3,3.2,1.7,0.8,0.2,2.3,15,1,0,-1.3
Fred VanVleet,TOR,24,76,55,21,20,8.6,3.1,7.2,42.6,1.4,3.4,41.4,1.1,1.3,83.2,0.3,2.1,2.4,3.2,1,0.9,0.3,1.7,18.8,0,0,4.6
Furkan Korkmaz,PHI,20,14,11,3,5.7,1.6,0.6,2,28.6,0.4,1.2,29.4,0.1,0.3,50,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,3.5,0,0,-3.1
Garrett Temple,SAC,32,65,23,42,24.8,8.4,3.1,7.3,41.8,1.4,3.5,39.2,0.9,1.2,76.9,0.3,2,2.3,1.9,1.2,0.9,0.4,2.1,16.7,0,0,-4.1
Gary Harris,DEN,23,67,37,30,34.4,17.5,6.6,13.6,48.5,2.3,5.9,39.6,2,2.4,82.7,0.6,2.1,2.6,2.9,1.8,1.8,0.2,1.8,29.3,0,0,2.6
Gary Payton II,LAL,25,23,10,13,9.6,3,1.3,3.2,40.5,0.3,1.1,24,0.1,0.4,33.3,0.6,1.3,1.9,0.9,0.3,0.3,0.1,1.3,7.7,1,0,0.5
George Hill,CLE,32,67,28,39,27,10,3.5,7.7,46,1.3,3.1,41.5,1.6,2.1,78.6,0.6,2.1,2.7,2.8,1.3,0.9,0.4,1.9,20,0,0,-1.8
Georges Niang,UTA,24,9,9,0,3.5,1,0.4,1.2,36.4,0,0.4,0,0.1,0.2,50,0.3,0.7,1,0.3,0.3,0.2,0,0.1,3,0,0,-1.4
Georgios Papagiannis,POR,20,17,3,14,7.2,2.1,1.1,2.5,42.9,0,0,0,0,0,0,0.8,1.4,2.2,0.5,0.5,0.2,0.4,0.7,6.8,0,0,-0.3
Gerald Green,HOU,32,41,33,8,22.7,12.1,4.1,10.1,40.7,2.7,7.3,36.9,1.2,1.5,85,0.4,2.9,3.2,0.6,0.8,0.6,0.4,2.1,19,0,0,2.3
Gian Clavell,DAL,24,7,0,7,9.1,2.9,0.9,2.6,33.3,0.9,2.1,40,0.3,0.3,100,0.1,0.9,1,0.4,0.3,0.3,0,1.1,5.3,0,0,2.7
Giannis Antetokounmpo,MIL,23,75,39,36,36.8,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76,2.1,8,10,4.8,3,1.5,1.4,3.1,51.7,42,1,2
Glenn Robinson III,IND,24,23,14,9,14.7,4.1,1.6,3.7,42.4,0.6,1.5,41.2,0.4,0.5,81.8,0.5,1.1,1.6,0.7,0.2,0.6,0,0.6,8.8,0,0,0
Goran Dragic,MIA,32,75,39,36,31.7,17.3,6.5,14.3,45,1.5,4,37,2.9,3.6,80.1,0.7,3.4,4.1,4.8,2.2,0.8,0.2,2.4,30.2,3,0,0.3
Gordon Hayward,BOS,28,1,0,1,5.3,2,1,2,50,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3.2,0,0,3
Gorgui Dieng,MIN,28,79,45,34,16.9,5.9,2.4,4.9,47.9,0.2,0.8,31.1,1,1.3,77.5,1.3,3.2,4.6,0.9,0.7,0.6,0.5,1.9,15.2,2,0,-2.6
Greg Monroe,BOS,28,51,21,30,20.4,10.3,4.3,7.6,56.5,0,0,0,1.7,2.3,73.9,2.1,4.7,6.9,2.2,1.8,0.9,0.5,1.9,24,9,1,-4.2
Guerschon Yabusele,BOS,22,33,24,9,7.1,2.4,0.8,1.8,42.6,0.4,1.1,32.4,0.5,0.7,68.2,0.5,1.1,1.6,0.5,0.4,0.1,0.2,0.7,5.5,0,0,-0.2
Harrison Barnes,DAL,26,77,24,53,34.2,18.9,7,15.7,44.5,1.5,4.3,35.7,3.4,4.1,82.7,1,5.1,6.1,2,1.5,0.6,0.2,1.2,30,8,0,-4.2
Hassan Whiteside,MIA,28,54,30,24,25.3,14,5.8,10.7,54,0,0,100,2.4,3.4,70.3,3.2,8.2,11.4,1,1.7,0.7,1.7,2.4,34.8,28,0,-1.4
Henry Ellenson,DET,21,38,21,17,8.7,4,1.4,3.8,36.3,0.5,1.6,33.3,0.7,0.8,86.2,0.3,1.9,2.1,0.5,0.5,0.1,0,0.6,7.2,1,0,-0.1
Ian Clark,NOP,27,74,43,31,19.7,7.4,3,6.7,44.8,0.8,2.6,31.8,0.6,0.8,76.3,0.1,1.6,1.7,1.5,0.8,0.4,0.1,1.6,12.7,0,0,0.4
Ian Mahinmi,WAS,31,77,42,35,14.9,4.8,1.8,3.2,55.6,0,0,0,1.2,1.7,70.3,1.8,2.3,4.1,0.7,1.3,0.5,0.5,3,12.5,1,0,0.2
Ike Anigbogu,IND,19,11,5,6,2.7,1.2,0.4,0.8,44.4,0,0,0,0.5,0.5,83.3,0.5,0.4,0.8,0,0.2,0.1,0.3,0.1,3.1,0,0,-1.3
