PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Norman Powell,TOR,25,70,51,19,15.2,5.5,2.1,5.3,40.1,0.8,2.7,28.5,0.5,0.6,82.1,0.2,1.5,1.7,1.3,0.9,0.5,0.2,1.6,10.8,0,0,-0.3
OG Anunoby,TOR,20,74,51,23,20,5.9,2.2,4.7,47.1,1,2.7,37.1,0.5,0.8,62.9,0.6,1.9,2.5,0.7,0.6,0.7,0.2,1.8,12.1,0,0,4
Okaro White,CLE,25,6,2,4,13.3,3.3,1.2,2.7,43.8,0.7,1.8,36.4,0.3,0.5,66.7,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1,6.9,0,0,-0.2
Omari Johnson,MEM,29,4,1,3,18.8,5.5,2.3,5.3,42.9,1,3,33.3,0,0,0,1,1.8,2.8,1.8,0.8,0.5,0,1.5,12.2,0,0,2.5
Omer Asik,CHI,31,18,7,11,10.1,1.2,0.5,1.2,40.9,0,0,0,0.2,0.7,30.8,0.5,2.1,2.6,0.2,0.5,0.1,0.2,1.1,5.1,0,0,-1.8
Omri Casspi,GSW,29,53,40,13,14,5.7,2.3,3.9,58,0.2,0.4,45.5,0.9,1.3,72.5,0.6,3.2,3.8,1,0.7,0.3,0.4,1.3,13,3,0,1
Otto Porter Jr.,WAS,25,77,42,35,31.6,14.7,5.8,11.5,50.3,1.8,4.1,44.1,1.4,1.7,82.8,1.3,5.1,6.4,2,1,1.5,0.5,2,30.6,13,0,3.7
PJ Dozier,OKC,21,2,1,1,1.6,1,0.5,1,50,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,1.1,0,0,-1.5
PJ Tucker,HOU,33,82,65,17,27.8,6.1,2.1,5.4,39,1.4,3.8,37.1,0.5,0.7,71.7,1.1,4.4,5.6,0.9,0.9,1,0.3,2.5,17.1,3,0,6.4
Pascal Siakam,TOR,24,81,59,22,20.7,7.3,3.1,6.1,50.8,0.4,1.6,22,0.7,1.1,62.1,1,3.5,4.5,2,0.8,0.8,0.5,2,18.6,0,0,3.8
Pat Connaughton,POR,25,82,49,33,18.1,5.4,2,4.8,42.3,0.9,2.6,35.2,0.5,0.5,84.1,0.4,1.5,2,1.1,0.5,0.3,0.3,1.5,10.5,0,0,1.7
Patrick Beverley,LAC,29,11,5,6,30.3,12.2,4.4,10.8,40.3,2.2,5.5,40,1.3,1.5,82.4,1.5,2.6,4.1,2.9,2.3,1.7,0.5,3.1,25.7,0,0,2.4
Patrick McCaw,GSW,22,57,41,16,16.9,4,1.6,3.9,40.9,0.3,1.4,23.8,0.5,0.6,76.5,0.3,1.2,1.4,1.4,0.7,0.8,0.2,1.2,9.9,0,0,-1.5
Patrick Patterson,OKC,29,82,48,34,15.5,3.9,1.3,3.2,39.8,0.8,2.1,38.6,0.5,0.6,87,0.4,2,2.4,0.7,0.4,0.6,0.3,1.1,9.9,0,0,-0.9
Patty Mills,SAS,29,82,47,35,25.7,10,3.4,8.3,41.1,1.9,5,37.2,1.3,1.4,89,0.3,1.6,1.9,2.8,1.3,0.7,0.1,1.6,17.6,0,0,1.3
Pau Gasol,SAS,37,77,45,32,23.5,10.1,3.7,8.1,45.8,0.6,1.6,35.8,2.1,2.7,75.6,1.7,6.4,8,3.1,1.4,0.3,1,1.6,27,16,1,0.8
Paul George,OKC,28,79,47,32,36.6,21.9,7.3,17,43,3.1,7.7,40.1,4.3,5.2,82.2,0.9,4.7,5.7,3.3,2.7,2,0.5,2.9,38.6,4,0,2.9
